hhid,sampletype,tacoma_addon,traveldate,dayofweek,hhnumtrips,vehicle_count,hhsize,numadults,numchildren,numworkers,lifecycle,hh_income_detailed,hh_income_followup,hh_income_broad,sample_segname,h_cnty,h_city,h_zip,address_use_flag,panel_moveinspect,h_segname,h_county_name,h_district_name,h_rgc_name,h_school_district_name,h_uv_name,h_uv_group,h_tract,h_bg,h_puma10,res_months,res_dur,rent_own,res_type,res_factors_hhchange,res_factors_afford,res_factors_school,res_factors_walk,res_factors_space,res_factors_closefam,res_factors_transit,res_factors_hwy,res_factors_30min,prev_rent_own,prev_res_type,prev_home_wa,prev_home_loc_cnty,prev_home_loc_city,prev_home_loc_zip,prev_home_loc_st,prev_home_loc_x,hh_info_dur,incentive_type,incentive_amt,user_ismobiledevice,foreign_language,expwt_h1415
15100243,1,0,4/30/2015,Thursday,0,2,1,1,0,1,4,3,,2,REG_MI,2,BREMERTON,98312,2015reported,,REG_MI,Kitsap,Kitsap, ,Central Kitsap School District,,,53035091400,530350914002,11801,2,1,1,8,1,5,1,5,5,4,2,3,3,1,8,1,5,NORDLAND,98358,WA,,15,1,10,FALSE,0,195.138305
15100244,1,0,4/30/2015,Thursday,2,2,2,2,0,0,8,2,,1,REG_MI,3,MILTON,98354,2015reported,,REG_HI,Pierce,South Pierce, ,Fife Public Schools,,,53053070703,530530707032,11505,1,1,2,5,3,1,3,1,1,2,3,2,3,1,1,1,5,LACEY,98503,WA,,15,2,20,FALSE,0,352.834431
15100245,1,0,4/30/2015,Thursday,6,3,6,2,4,2,1,10,,5,OS_HI,4,MILL CREEK,98012,2015reported,,OS_HI,Snohomish,Suburban Snohomish, ,Everett School District,,,53061052004,530610520041,11704,1,5,1,1,5,5,5,5,4,1,1,5,5,,,,,,,,,17,2,20,FALSE,0,750.2372332
15100246,1,0,4/30/2015,Thursday,4,0,1,1,0,1,4,4,,2,OS_HI,1,SEATTLE,98109,2015sampleprovider,,OS_HI,King,Seattle CBD, ,Seattle School District,,,53033006800,530330068001,11603,1,5,2,5,1,5,1,5,3,1,5,3,5,,,,,,,,,12,2,10,TRUE,0,118.4203018
15100247,1,0,4/30/2015,Thursday,2,0,1,1,0,0,5,98,1,1,OS_LI,3,SUMNER,98390,2015reported,,OS_LI,Pierce,South Pierce, ,Sumner School District,,,53053073301,530530733012,11505,1,6,2,3,4,5,1,5,1,5,5,5,1,,,,,,,,,7,2,20,FALSE,0,272.2149889
15100248,1,0,4/30/2015,Thursday,8,3,2,2,0,1,8,7,,5,OS_HI,1,SEATTLE,98107,2015reported,,OS_HI,King,North Seattle-Shoreline, ,Seattle School District,,,53033004700,530330047001,11601,1,7,1,1,3,5,5,4,4,2,3,4,2,,,,,,,,,11,2,10,FALSE,0,149.893272
15100249,1,0,4/30/2015,Thursday,7,2,2,2,0,1,8,4,,2,REG_HI,3,TACOMA,98408,2015reported,,REG_HI,Pierce,Tacoma, ,Tacoma Public Schools,,,53053063200,530530632004,11504,1,7,1,1,2,5,4,5,4,5,2,4,4,,,,,,,,,14,1,10,FALSE,0,184.8423957
15100250,1,0,4/30/2015,Thursday,6,1,1,1,0,1,3,2,,1,REG_MI,2,BREMERTON,98310,2015reported,,REG_MI,Kitsap,Kitsap, ,Bremerton School District,,,53035080300,530350803002,11802,1,1,2,5,1,5,1,4,5,2,2,1,5,2,1,1,5,MAPLE FALLS,98266,WA,,9,1,20,FALSE,0,517.9724127
15100251,1,0,4/30/2015,Thursday,8,1,2,2,0,0,7,3,,2,REG_HI,1,SHORELINE,98155,2015reported,,REG_HI,King,North Seattle-Shoreline, ,Shoreline School District,,,53033021300,530330213002,11606,1,7,1,1,5,4,5,4,3,4,3,3,3,,,,,,,,,6,2,10,FALSE,0,66.42482061
15100252,1,0,4/30/2015,Thursday,10,2,2,2,0,0,8,6,,4,REG_HI,2,PORT ORCHARD,98367,2015reported,,REG_HI,Kitsap,Kitsap, ,South Kitsap School District,,,53035092100,530350921001,11802,1,6,1,1,3,5,3,4,5,4,4,4,4,,,,,,,,,15,1,10,FALSE,0,94.16086516
15100253,1,0,4/30/2015,Thursday,0,2,2,2,0,0,8,6,,4,REG_HI,1,NORTH BEND,98045,2015reported,,REG_HI,King,East Side, ,Snoqualmie Valley School District,,,53033032800,530330328002,11616,1,7,1,1,1,4,3,4,4,5,2,3,1,,,,,,,,,13,1,10,FALSE,0,167.6940533
15100254,1,0,4/30/2015,Thursday,13,3,5,2,3,1,1,9,,5,REG_HI,4,LAKE STEVENS,98258,2015sampleprovider,,REG_HI,Snohomish,Suburban Snohomish, ,Lake Stevens School District,,,53061052706,530610527061,11705,1,5,1,1,2,1,3,3,2,2,3,1,1,,,,,,,,,18,2,20,FALSE,0,1480.575548
15100255,1,0,4/30/2015,Thursday,20,3,4,2,2,2,1,7,,5,REG_HI,4,SNOHOMISH,98296,2015reported,,REG_HI,Snohomish,Suburban Snohomish, ,Snohomish School District,,,53061052118,530610521183,11704,1,6,1,1,3,5,3,4,5,4,1,2,2,,,,,,,,,8,1,20,TRUE,0,1056.736111
15100256,1,0,4/30/2015,Thursday,10,1,2,2,0,0,7,2,,1,OS_LI,1,SEATTLE,98101,2015sampleprovider,,OS_LI,King,Seattle CBD,Seattle Downtown,Seattle School District,Commercial Core,13,53033008100,530330081003,11603,1,5,2,5,3,5,3,4,4,3,4,4,3,,,,,,,,,13,1,20,FALSE,0,104.6311109
15100257,1,0,4/30/2015,Thursday,9,3,2,2,0,0,8,6,,4,REG_HI,2,BREMERTON,98312,2015reported,,REG_HI,Kitsap,Kitsap, ,Central Kitsap School District,,,53035091301,530350913013,11801,1,7,1,1,1,4,1,1,5,1,1,3,1,,,,,,,,,11,2,10,FALSE,0,1117.865859
15100258,1,0,4/30/2015,Thursday,20,1,2,2,0,2,6,9,,5,REG_MI,1,SEATTLE,98118,2015reported,,REG_MI,King,West-South Seattle, ,Seattle School District,,,53033010100,530330101001,11604,1,2,2,1,1,4,3,5,4,2,4,1,4,2,3,1,1,SEATTLE,98105,WA,,38,1,10,FALSE,0,276.7649763
15100259,1,0,4/30/2015,Thursday,8,1,2,2,0,1,6,4,,2,OS_LI,1,SEATTLE,98125,2015reported,,OS_LI,King,North Seattle-Shoreline, ,Seattle School District,,,53033000600,530330006002,11601,1,5,2,5,2,5,1,2,4,1,4,2,4,,,,,,,,,6,1,10,FALSE,0,1091.140619
15100260,1,0,4/30/2015,Thursday,9,0,1,1,0,0,5,2,,1,OS_LI,2,BREMERTON,98337,2015reported,,OS_LI,Kitsap,Kitsap,Bremerton,Bremerton School District,,,53035080500,530350805001,11802,1,5,2,5,1,5,1,5,5,1,5,4,5,,,,,,,,,8,2,20,FALSE,0,146.4499254
15100261,1,0,4/30/2015,Thursday,8,3,4,4,0,3,7,7,,5,OS_MI,1,AUBURN,98001,2015reported,,OS_MI,King,Renton-FedWay-Kent,Auburn,Auburn School District,,,53033030501,530330305011,11614,1,6,1,1,3,5,3,3,4,4,1,3,5,,,,,,,,,10,1,20,FALSE,0,777.65103
